年月日,最高気温(℃),最低気温(℃),平均気温(℃),降水量の合計(mm),降雪量合計(cm),平均湿度(％),天気概況(昼：06時〜18時),天気概況(夜：18時〜翌日06時)
2021/1/1,7.6,2.3,4.6,0.0,0.0,54.0,晴後時々曇,快晴
2021/1/2,9.2,3.3,5.6,0.0,0.0,52.0,晴,快晴
2021/1/3,9.2,3.9,6.1,0.0,0.0,54.0,晴時々曇,曇
2021/1/4,10.0,3.0,6.1,0.0,0.0,56.0,晴,晴後薄曇
2021/1/5,8.9,3.0,6.1,0.0,0.0,65.0,曇,曇
2021/1/6,8.9,4.5,6.8,0.0,0.0,52.0,薄曇時々晴,曇
2021/1/7,7.5,-1.2,3.3,1.0,0.0,48.0,曇一時雨、みぞれを伴う,晴時々薄曇
2021/1/8,2.9,-1.5,0.2,0.0,0.0,49.0,晴後一時雪,晴
2021/1/9,4.3,-1.3,0.9,0.0,0.0,48.0,晴,快晴
2021/1/10,6.1,-1.4,2.5,0.0,0.0,52.0,晴,晴後薄曇
2021/1/11,6.8,-0.3,3.4,0.0,0.0,58.0,曇,曇後一時雨、みぞれを伴う
2021/1/12,5.0,0.4,3.2,3.5,0.0,83.0,曇時々雪一時みぞれ,晴
2021/1/13,9.6,1.1,5.5,0.0,0.0,64.0,快晴,晴後一時曇
2021/1/14,13.4,2.0,7.5,0.0,0.0,68.0,快晴,快晴
2021/1/15,15.1,3.7,9.3,0.0,0.0,65.0,晴一時薄曇,晴一時曇
2021/1/16,12.6,5.7,8.6,0.5,0.0,73.0,曇時々雨一時晴,曇一時晴
2021/1/17,9.4,3.8,6.8,0.0,0.0,55.0,曇一時晴,晴
2021/1/18,7.6,0.2,4.6,0.0,0.0,57.0,晴,曇時々雨後晴
2021/1/19,6.3,2.3,4.1,0.0,0.0,58.0,晴一時曇,曇
2021/1/20,8.6,2.1,4.7,0.0,0.0,54.0,晴一時曇,快晴
2021/1/21,14.1,1.2,7.2,0.0,0.0,59.0,快晴,晴後曇時々雨
2021/1/22,9.7,7.3,8.5,7.0,0.0,87.0,雨,雨時々曇
2021/1/23,9.8,7.2,8.6,26.5,0.0,91.0,雨,雨
2021/1/24,9.5,7.2,8.3,12.0,0.0,90.0,雨,曇時々雨
2021/1/25,14.6,7.3,10.1,0.0,0.0,68.0,晴後時々薄曇,晴一時曇
2021/1/26,19.0,6.7,12.1,7.5,0.0,70.0,薄曇後一時雨,雨後時々曇
2021/1/27,14.7,8.2,11.6,6.5,0.0,67.0,曇後晴,曇時々晴
2021/1/28,12.7,5.1,8.6,0.0,0.0,61.0,薄曇時々晴,晴時々曇
2021/1/29,10.2,1.4,3.8,0.0,0.0,44.0,晴,晴
2021/1/30,9.2,-0.2,4.8,0.0,0.0,54.0,晴,晴時々曇
2021/1/31,11.8,4.7,7.7,0.0,0.0,58.0,晴,晴後一時曇
2021/2/1,14.6,2.8,7.9,11.0,0.0,68.0,曇,雨
2021/2/2,13.7,4.8,9.5,8.0,0.0,64.0,晴一時曇,快晴
2021/2/3,8.2,3.9,5.7,0.0,0.0,48.0,晴,晴
2021/2/4,10.2,4.1,6.7,0.0,0.0,53.0,晴一時曇,晴
2021/2/5,11.5,1.9,7.3,0.0,0.0,54.0,晴,曇
2021/2/6,14.9,6.6,10.8,0.0,0.0,54.0,快晴,快晴
2021/2/7,14.2,5.3,9.6,0.0,0.0,66.0,晴後時々曇,晴後一時曇
2021/2/8,10.8,3.0,6.8,0.0,0.0,66.0,晴時々雨一時曇,晴一時曇、みぞれを伴う
2021/2/9,8.1,1.4,4.7,0.0,0.0,57.0,晴後曇,晴時々曇
2021/2/10,11.0,4.8,7.8,0.0,0.0,50.0,晴,晴時々曇
2021/2/11,14.4,6.4,9.8,0.0,0.0,54.0,晴後時々薄曇,薄曇
